"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","2","","Login API","","Login API","Login com usuário inexistente deve retornar 401","Login com usuário inexistente deve retornar 401",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","2","","Login API - Isolando Controller do Service","","Login API - Isolando Controller do Service","5. Requisição sem usuário deve retornar 400 (Controller valida, Service não é chamado)","5. Requisição sem usuário deve retornar 400 (Controller valida, Service não é chamado)",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","3","","Login API - Isolando Controller do Service","","Login API - Isolando Controller do Service","4. Requisição sem senha deve retornar 400 (Controller valida, Service não é chamado)","4. Requisição sem senha deve retornar 400 (Controller valida, Service não é chamado)",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","27","","Login API","","Login API","Login com credenciais válidas deve retornar 200 e um token","Login com credenciais válidas deve retornar 200 e um token",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","3","","Login API","","Login API","Requisição sem senha deve retornar 400","Requisição sem senha deve retornar 400",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","2","","Login API","","Login API","Requisição sem usuário deve retornar 400","Requisição sem usuário deve retornar 400",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","5","","Login API - Isolando Controller do Service","","Login API - Isolando Controller do Service","1. Login com credenciais válidas deve retornar 200 e um token fake (Service Mocked)","1. Login com credenciais válidas deve retornar 200 e um token fake (Service Mocked)",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","3","","Login API - Isolando Controller do Service","","Login API - Isolando Controller do Service","3. Login com usuário inexistente deve retornar 401 e mensagem (Service Mocked)","3. Login com usuário inexistente deve retornar 401 e mensagem (Service Mocked)",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","3","","Login API","","Login API","Login com senha incorreta deve retornar 401","Login com senha incorreta deve retornar 401",""
"passed","Thu Aug 21 02:35:47 GMT 2025","Thu Aug 21 02:35:47 GMT 2025","2","","Login API - Isolando Controller do Service","","Login API - Isolando Controller do Service","2. Login com senha incorreta deve retornar 401 e mensagem (Service Mocked)","2. Login com senha incorreta deve retornar 401 e mensagem (Service Mocked)",""
